#{"t_start": 1598826891.8652916, "env_id": "WalrusBalance-v0"}
r,l,t
71.149089,7,1459.570549
39.540791,4,1460.823271
29.673176,4,1462.012546
34.418639,3,1463.058215
93.018722,9,1465.351823
33.043464,3,1466.368043
39.065234,4,1467.62941
34.231416,3,1468.694752
29.772973,4,1469.905698
75.647829,10,1472.388164
33.659509,3,1473.4107
34.191035,3,1474.435405
79.226135,6,1476.09156
34.440656,3,1477.066922
28.776158,4,1478.270152
79.341827,8,1480.313327
27.630041,4,1481.52644
64.575849,7,1483.424121
34.477215,3,1484.456315
29.753772,4,1485.700344
29.89503,4,1486.933906
29.748079,4,1488.206265
103.776695,9,1490.434921
63.933944,7,1492.412903
38.243071,4,1493.677811
34.31707,5,1495.159081
44.806082,5,1496.611629
49.533259,6,1498.272121
34.22309,3,1499.348069
24.666591,3,1500.434877
34.454723,3,1501.465474
53.473108,7,1503.35524
39.577223,4,1504.567202
39.518011,4,1505.788172
34.800037,3,1506.842791
34.723978,3,1507.885468
95.163307,8,1509.939165
29.593193,4,1511.192726
34.517639,3,1512.220046
39.611521,4,1513.434467
129.881026,11,1516.128936
260.91674,19,1520.463398
29.712488,4,1521.716906
39.476276,4,1522.877559
68.923195,9,1525.192715
39.027954,4,1526.38627
74.640738,7,1528.236159
123.787812,9,1530.491744
112.549257,9,1532.7182
59.56392,6,1534.416411
34.700482,3,1535.460715
49.302805,4,1536.717713
49.830952,6,1538.398923
24.642636,3,1539.407701
94.513042,7,1541.221578
29.68661,4,1542.483808
24.592306,3,1543.551757
59.218584,8,1545.639529
89.249332,8,1547.664778
66.540476,6,1549.283855
39.572252,4,1550.606162
138.437931,12,1553.467754
24.420749,3,1554.516199
87.863703,8,1556.525001
23.787717,3,1557.498904
33.766857,3,1558.51568
29.56042,4,1559.742728
34.633422,3,1560.811762
69.391498,6,1562.461397
34.69117,3,1563.546378
24.575081,3,1564.551415
57.212868,6,1566.219187
39.495423,4,1567.509998
49.524595,4,1568.789944
59.069424,8,1570.866584
39.298038,4,1572.110327
88.351802,9,1574.429781
59.821877,6,1576.127751
64.179751,7,1577.985943
39.58989,4,1579.220306
34.450514,3,1580.223397
64.579254,7,1582.029259
48.892984,4,1583.24234
33.010104,5,1584.694181
43.403592,5,1586.15844
44.342807,5,1587.572105
57.507633,6,1589.240051
29.577622,4,1590.459033
28.569679,4,1591.642057
33.725723,3,1592.699775
93.90318,10,1595.250087
33.688493,5,1596.741238
58.055719,6,1598.393301
76.330286,8,1600.452582
113.975534,9,1602.684311
39.145495,4,1603.867225
54.395963,5,1605.34359
48.742356,4,1606.556518
78.608659,8,1608.672339
87.325983,8,1610.770072
29.788987,4,1612.026906
43.990882,5,1613.500922
82.615729,7,1615.430081
117.390552,10,1617.962631
28.812802,4,1619.183318
44.510903,5,1620.632066
33.497878,5,1622.104399
34.457951,5,1623.588158
24.274315,3,1624.662788
88.527681,9,1626.919995
53.784132,5,1628.404418
43.869946,5,1629.823756
101.000952,9,1632.087409
34.650159,3,1633.171541
44.552024,5,1634.572007
87.813705,8,1636.618523
121.98796,11,1639.350045
39.67005,4,1640.545888
34.457877,3,1641.573609
96.85498,10,1644.076663
39.731453,4,1645.299994
102.994181,9,1647.531012
97.124688,8,1649.644255
34.569638,3,1650.708725
19.827915,2,1651.623841
29.697875,4,1652.891737
39.757163,6,1654.602407
147.177625,14,1657.884136
